Time,radar,fall avg accel,fall burn time,fall dist,burn mass,fall time,ship mass,,,,,,,,,,,,,,,,,,,
80.04000007,1000.014027,27.51903133,5.989882575,355.1522411,830.5868013,14.30436662,4.484053135,,,,,,,,,,,,,,,,,,,
Time,radar,availthrust,thrust,thrust at alt,isp,atsip,mass,atmequiv,press,acc,acc,acc,fall dist,fall time,gravity,ship vertical speed,,acceleration,acceleration thrust,acceleration thrust at,,velocity,a,a after,calc thrust,
93.64000009,122.1115999,92.71994781,92.71994781,92.73506165,162.8075256,162.8015594,4.426207066,0.997161633,0.971269323,V(-4.1797838236178,-0.02111935, 10.3896820911506),240.3099264,1.032271661,9.803343752,-111.0820127,4.991215748,20.94794628,20.94794628,20.9513609,,-111.4180108,11.19831167,21.00831167,,
93.68000009,117.6726748,92.68302917,92.68302917,92.69813538,162.742569,162.7367249,4.423883438,0.997225044,0.971911976,V(-4.17988863888054,-0.020670204, 10.3904348423119),239.7833004,0.999368872,9.803488464,-110.6342505,4.899621023,20.9506038,20.9506038,20.95401849,,-110.9731285,11.1220587,20.9320587,,
93.72000009,113.251711,92.64629364,92.64629364,92.66137695,162.6779327,162.6721954,4.421560287,0.9972882,0.972552371,V(-4.18017167590593,-0.020256315, 10.3931501808974),239.2632809,0.966283425,9.803632594,-110.1861262,4.806665168,20.95330327,20.95330327,20.95671458,,-110.5240951,11.22583444,21.03583444,,
93.76000009,108.84869,92.60974121,92.60974121,92.62480927,162.6135864,162.6080017,4.41923666,0.9973511,0.973190507,V(-4.17990662796711,-0.019875405, 10.3954970393997),238.7524549,0.933015001,9.803776141,-109.7376581,4.712267199,20.95604928,20.95604928,20.95945893,,-110.0755237,11.21428618,21.02428618,,
93.80000009,104.4637922,92.57337189,92.57337189,92.58843231,162.5495911,162.5441437,4.416913509,0.997413743,0.973826384,V(-4.18071900000793,-0.019533483, 10.3978632478564),238.2485267,0.899550577,9.803919105,-109.2893125,4.616342597,20.95883736,20.95883736,20.96224708,,-109.6224449,11.32696895,21.13696895,,
93.84000009,100.0965775,92.53720856,92.53720856,92.55224609,162.4859009,162.4806061,4.414589882,0.99747613,0.974460002,V(-4.18042240064815,-0.019222563, 10.40103990527),237.7558533,0.865890179,9.804061487,-108.8410361,4.518784173,20.96167731,20.96167731,20.96508364,,-109.1803668,11.05195309,20.86195309,,
93.88000009,95.74754418,92.50120544,92.50120544,92.51623535,162.4225616,162.4173889,4.412266731,0.997538261,0.975091286,V(-4.18162613135954,-0.018954681, 10.403404627297),237.2717284,0.832032628,9.804203285,-108.3923327,4.419495193,20.96455429,20.96455429,20.96796068,,-108.7258341,11.36331789,21.17331789,,
93.92000009,91.41633441,92.46539307,92.46539307,92.48040009,162.3595276,162.3544769,4.409943104,0.997600135,0.975720387,V(-4.18221243221231,-0.018723202, 10.4060705453907),236.7966934,0.797970861,9.8043445,-107.943755,4.318347804,20.96747983,20.96747983,20.97088282,,-108.2802442,11.13974756,20.94974756,,
93.96000009,87.10320094,92.42976379,92.42976379,92.44475555,162.2968292,162.2919006,4.407619953,0.997661753,0.976347153,V(-4.18201284502974,-0.018522426, 10.4085894555743),236.3323876,0.763700271,9.804485132,-107.4950509,4.215214303,20.97044772,20.97044772,20.97384905,,-107.8283367,11.29768736,21.10768736,,
94.00000009,82.8077534,92.39431763,92.39431763,92.40930176,162.2344513,162.22966,4.405296326,0.997723115,0.97697166,V(-4.18253785550659,-0.018358459, 10.4102439158956),235.8773206,0.729217547,9.80462518,-107.0462223,4.109935451,20.97346258,20.97346258,20.97686397,,-107.3861883,11.05370929,20.86370929,,
94.04000009,78.53033314,92.35905457,92.35905457,92.37401581,162.1723785,162.1677246,4.402973175,0.99778422,0.977593908,V(-4.18258201189975,-0.018235841, 10.4126178836076),235.4323907,0.694516546,9.804764644,-106.597219,4.002350615,20.97651993,20.97651993,20.97991792,,-106.9355064,11.26704765,21.07704765,,
94.08000009,74.27075776,92.32397461,92.32397461,92.33892059,162.1106262,162.1061096,4.400649548,0.997845068,0.978213822,V(-4.1837188016211,-0.018145348, 10.4161088427408),234.997235,0.659596729,9.804903525,-106.1482135,3.892263762,20.9796244,20.9796244,20.98302071,,-106.4893846,11.15304619,20.96304619,,
94.12000009,70.02932037,92.28907776,92.28907776,92.30400848,162.0491943,162.0448151,4.39832592,0.99790566,0.978831478,V(-4.184215448651,-0.018090044, 10.4185062178332),234.5729793,0.624449943,9.805041821,-105.6988891,3.779464135,20.98277377,20.98277377,20.98616841,,-106.0359344,11.33625314,21.14625314,,
94.16000009,65.8058563,92.25437164,92.25437164,92.26926422,161.9880981,161.9838257,4.396002769,0.997965995,0.979446799,V(-4.18550745615404,-0.018066006, 10.421330828504),234.158445,0.589072784,9.805179533,-105.2495384,3.663696547,20.98596759,20.98596759,20.98935534,,-105.5866019,11.23331339,21.04331339,,
94.20000009,61.60030947,92.21983337,92.21983337,92.23471832,161.9273071,161.923172,4.393679142,0.998026074,0.980059786,V(-4.18606587384239,-0.018063746, 10.4232485254327),233.7550721,0.553459694,9.805316661,-104.8000399,3.544668558,20.98920526,20.98920526,20.99259307,,-105.1386706,11.19828228,21.00828228,,
